"id","t","p","p_adj"
"1555745_a_at",-3.9765560711218,0.000123622084242883,0.000182574812277784
"1555756_a_at",10.4507361096282,5.62609782820759e-17,1.76737868250865e-16
"1555772_a_at",-4.85714552284121,3.38231096119933e-06,5.43509717349955e-06
"1555778_a_at",15.6241161887853,1.97944598797323e-31,2.28157195455861e-30
"1555867_at",2.81141266376139,0.00591735468420273,0.00784714942117888
"1555890_at",-2.65271510424861,0.00896478476463083,0.0117461667044265
"1555938_x_at",7.28687857577707,3.71759235203525e-10,7.27850456662841e-10
"1555963_x_at",-3.87186278473959,0.000170210190228392,0.00024945719084142
"1555997_s_at",13.9165752906629,2.88831398665534e-25,1.70299436213178e-24
"1556054_at",-1.00926588310574,0.314756932320022,0.35143654570036
"1556194_a_at",-2.39323404395402,0.0181430355633447,0.0232941989268069
"1556834_at",-4.41171364022207,2.13942299528837e-05,3.27645899278428e-05
"1557049_at",11.2827553996665,1.84696941307494e-18,6.39143140009907e-18
"1557080_s_at",10.2514880573105,4.8867134636689e-15,1.30967338108469e-14
"1557257_at",-0.735228918785585,0.463807349440051,0.500596849599993
"1557285_at",0.300519319963253,0.764298023381811,0.782155453834657
"1557961_s_at",12.4072858927941,9.46030600875117e-19,3.37270909567803e-18
"1558048_x_at",-0.729105675902384,0.467302424546429,0.503425591587966
"1558217_at",-0.662809716442306,0.50860876772841,0.541456417310869
"1558686_at",1.45276078646785,0.148792651545849,0.173459418113906
"1558828_s_at",12.2943662155874,2.93043580202243e-19,1.09837605978004e-18
"1558930_at",2.40172432373018,0.0183510001905805,0.0235414922946945
"1559410_at",-3.96559540225392,0.000121469817466749,0.000179569170854895
"1559477_s_at",14.9527582732017,3.42834142359188e-25,1.97580729412269e-24
"1559538_at",-11.3707039297497,4.70332945870841e-21,1.99728644326869e-20
"1559584_a_at",0.933734965117552,0.352189918981941,0.390106319219159
"1559633_a_at",-0.567237708058809,0.571584381665235,0.598866317775824
"1559826_a_at",-0.724747453721302,0.470139100358084,0.505416017425626
"1559827_at",-1.08302483389187,0.281039424335631,0.31562889194617
"1560263_at",1.27378335999242,0.205471908029668,0.234890704705057
"1560396_at",6.87546606998036,1.56698903013257e-09,2.98409215303508e-09
"1561387_a_at",-11.9532085542455,4.34353379222477e-22,1.98173729270255e-21
"1562921_at",-7.92097910044571,8.61492636624303e-13,1.9949670875303e-12
"1565358_at",-0.896518245202841,0.371645753958828,0.408703687818424
"1566465_at",-3.02404820964855,0.00302219201990212,0.00408916184157983
"1566764_at",-1.67399182956464,0.0972939749756518,0.116252270956878
"1567183_s_at",-3.94767088068531,0.000129755990638898,0.000191449406784822
"1568603_at",-8.37909815416883,1.21502099474118e-13,2.97069726465428e-13
"1568604_a_at",-7.82211471220249,4.34477289658672e-12,9.51505264352492e-12
"1568634_a_at",-8.43308802670507,5.52014720232763e-14,1.38048705728683e-13
"1568765_at",7.34614787166936,1.47895460114663e-10,2.96370902425854e-10
"1569040_s_at",1.3149533155197,0.191398149252211,0.219292498358475
"1569225_a_at",0.222928051799253,0.823945418466593,0.837049918163875
"1569433_at",-6.19014420565157,7.06205589530816e-09,1.30750382699365e-08
"1569477_at",3.46219179053391,0.000777851320630741,0.00109398722433663
"1569532_a_at",-3.7704869995863,0.000253053568811716,0.000364254573697992
"1569582_at",-4.31667235732193,3.10702564009955e-05,4.70659121173182e-05
"1570482_at",0.677839380737055,0.499202414451376,0.532922911806378
"200930_s_at",4.79007490580112,1.01513994452425e-05,1.59611234354429e-05
"200952_s_at",-0.663995509767192,0.507855393420653,0.541030102928326
